Wall time,Step,Value
1744536424.6254659,0,1.331891417503357
1744536426.5515277,1,1.2729905843734741
1744536428.609221,2,1.2568678855895996
1744536430.6851015,3,1.2451752424240112
1744536432.593121,4,1.2331832647323608
1744536434.0016158,5,1.2145315408706665
1744536435.4029408,6,1.2000917196273804
1744536436.8509102,7,1.1692490577697754
1744536438.241363,8,1.19236159324646
1744536439.6973956,9,1.149293065071106
1744536441.097025,10,1.135091781616211
1744536442.5085769,11,1.1295156478881836
1744536443.9214876,12,1.0921261310577393
1744536445.308726,13,1.068994164466858
1744536446.7525072,14,1.0796942710876465
1744536448.1668208,15,1.0350593328475952
1744536449.5960627,16,1.0710021257400513
1744536451.0027328,17,1.0152335166931152
1744536452.4457002,18,1.0274118185043335
1744536453.908652,19,0.990408182144165
